,rownames.result_mat..ind...1..,colnames.result_mat..ind...2..,result_mat.lower.tri.result_mat..
128,Office_day169_18Jun2013_E.png,col61_day10_14apr2021_E.png,0
129,Office_day169_18Jun2013_W.png,col61_day10_14apr2021_E.png,0
130,Office_day197_16July2013_E.png,col61_day10_14apr2021_E.png,0
131,Office_day197_16July2013_W.png,col61_day10_14apr2021_E.png,0
132,Office_day224_13Aug2013_E.png,col61_day10_14apr2021_E.png,1.10E-75
133,Office_day224_13Aug2013_W.png,col61_day10_14apr2021_E.png,5.80E-93
134,Office_day261_18Sep2013_E.png,col61_day10_14apr2021_E.png,1.76E-66
135,Office_day261_18Sep2013_W.png,col61_day10_14apr2021_E.png,1.83E-84
136,South_day105_16Apr2013_E.png,col61_day10_14apr2021_E.png,0
137,South_day105_16Apr2013_W.png,col61_day10_14apr2021_E.png,0
138,South_day134_14May2013_E.png,col61_day10_14apr2021_E.png,0
139,South_day134_14May2013_W.png,col61_day10_14apr2021_E.png,0
140,South_day169_18Jun2013_E.png,col61_day10_14apr2021_E.png,0
141,South_day169_18Jun2013_W.png,col61_day10_14apr2021_E.png,0
142,South_day197_16July2013_E.png,col61_day10_14apr2021_E.png,0
143,South_day197_16July2013_W.png,col61_day10_14apr2021_E.png,0
144,South_day224_13Aug2013_E.png,col61_day10_14apr2021_E.png,7.19E-54
145,South_day224_13Aug2013_W.png,col61_day10_14apr2021_E.png,2.75E-71
146,South_day261_18Sep2013_E.png,col61_day10_14apr2021_E.png,9.17E-28
147,South_day261_18Sep2013_W.png,col61_day10_14apr2021_E.png,6.04E-45
148,col61_day100_13July2021_E.png,col61_day10_14apr2021_W.png,2.17E-166
149,col61_day100_13July2021_W.png,col61_day10_14apr2021_W.png,1.73E-146
150,col61_day110_23July2021_E.png,col61_day10_14apr2021_W.png,7.35E-166
151,col61_day110_23July2021_W.png,col61_day10_14apr2021_W.png,6.93E-160
152,col61_day20_24apr2021_E.png,col61_day10_14apr2021_W.png,1.49E-31
153,col61_day20_24apr2021_W.png,col61_day10_14apr2021_W.png,3.95E-23
154,col61_day32_6may2021_E.png,col61_day10_14apr2021_W.png,1.30E-73
155,col61_day32_6may2021_W.png,col61_day10_14apr2021_W.png,2.72E-68
156,col61_day40_14may2021_E.png,col61_day10_14apr2021_W.png,3.25E-146
157,col61_day40_14may2021_W.png,col61_day10_14apr2021_W.png,8.99E-143
158,col61_day46_20may2021_E.png,col61_day10_14apr2021_W.png,1.73E-89
159,col61_day46_20may2021_W.png,col61_day10_14apr2021_W.png,8.58E-160
160,col61_day50_24may2021_E.png,col61_day10_14apr2021_W.png,1.50E-87
161,col61_day50_24may2021_W.png,col61_day10_14apr2021_W.png,5.79E-89
162,col61_day60_03June2021_E.png,col61_day10_14apr2021_W.png,1.66E-156
163,col61_day60_03June2021_W.png,col61_day10_14apr2021_W.png,2.05E-170
164,col61_day71_14June2021_E.png,col61_day10_14apr2021_W.png,5.01E-89
165,col61_day71_14June2021_W.png,col61_day10_14apr2021_W.png,2.05E-68
166,col61_day81_24June2021_E.png,col61_day10_14apr2021_W.png,1.29E-101
167,col61_day81_24June2021_W.png,col61_day10_14apr2021_W.png,2.32E-114
168,col61_day89_02July2021_E.png,col61_day10_14apr2021_W.png,4.45E-124
169,col61_day89_02July2021_W.png,col61_day10_14apr2021_W.png,2.23E-111
170,col62_day120_02August2021_E.png,col61_day10_14apr2021_W.png,0
171,col62_day120_02August2021_W.png,col61_day10_14apr2021_W.png,0
172,col62_day129_11August2021_E.png,col61_day10_14apr2021_W.png,1.84E-152
173,col62_day129_11August2021_W.png,col61_day10_14apr2021_W.png,1.10E-154
174,col62_day141_23August2021_E.png,col61_day10_14apr2021_W.png,6.10E-132
175,col62_day141_23August2021_W.png,col61_day10_14apr2021_W.png,5.58E-142
176,col62_day151_02September2021_E.png,col61_day10_14apr2021_W.png,3.86E-172
177,col62_day151_02September2021_W.png,col61_day10_14apr2021_W.png,2.49E-116
178,col62_day159_10September2021_E.png,col61_day10_14apr2021_W.png,2.06E-145
179,col62_day159_10September2021_W.png,col61_day10_14apr2021_W.png,2.06E-119
180,col62_day170_21September2021_E.png,col61_day10_14apr2021_W.png,2.01E-130
181,col62_day170_21September2021_W.png,col61_day10_14apr2021_W.png,1.15E-142
182,col62_day180_01October2021_E.png,col61_day10_14apr2021_W.png,1.19E-254
183,col62_day180_01October2021_W.png,col61_day10_14apr2021_W.png,4.86E-206
184,col62_day190_11October2021_E.png,col61_day10_14apr2021_W.png,4.76E-189
185,col62_day190_11October2021_W.png,col61_day10_14apr2021_W.png,1.22E-182
186,col62_day200_21October2021_E.png,col61_day10_14apr2021_W.png,1.73E-267
187,col62_day200_21October2021_W.png,col61_day10_14apr2021_W.png,2.99E-257
188,col62_day208_29October2021_E.png,col61_day10_14apr2021_W.png,1.04E-285
189,col62_day208_29October2021_W.png,col61_day10_14apr2021_W.png,1.87E-279
190,col62_day221_11November2021_E.png,col61_day10_14apr2021_W.png,3.36E-250
191,col62_day221_11November2021_W.png,col61_day10_14apr2021_W.png,1.31E-267
192,col62_day229_19November2021_E.png,col61_day10_14apr2021_W.png,3.18E-226
193,col62_day229_19November2021_W.png,col61_day10_14apr2021_W.png,1.41E-288
194,col62_day241_01December2021_E.png,col61_day10_14apr2021_W.png,9.73E-213
195,col62_day241_01December2021_W.png,col61_day10_14apr2021_W.png,2.76E-266
196,col76_day10_14apr2021_E.png,col61_day10_14apr2021_W.png,0
197,col76_day10_14apr2021_W.png,col61_day10_14apr2021_W.png,0
198,col76_day100_13July2021_E.png,col61_day10_14apr2021_W.png,2.45E-218
199,col76_day100_13July2021_W.png,col61_day10_14apr2021_W.png,1.91E-217
200,col76_day101_14July2021_E.png,col61_day10_14apr2021_W.png,1.58E-248
201,col76_day101_14July2021_W.png,col61_day10_14apr2021_W.png,1.15E-274
202,col76_day110_23July2021_E.png,col61_day10_14apr2021_W.png,2.35E-263
203,col76_day110_23July2021_W.png,col61_day10_14apr2021_W.png,2.51E-288
204,col76_day120_02August2021_E.png,col61_day10_14apr2021_W.png,0
205,col76_day120_02August2021_W.png,col61_day10_14apr2021_W.png,0
206,col76_day129_11August2021_E.png,col61_day10_14apr2021_W.png,1.61E-297
207,col76_day129_11August2021_W.png,col61_day10_14apr2021_W.png,0
208,col76_day141_23August2021_E.png,col61_day10_14apr2021_W.png,1.02E-266
209,col76_day141_23August2021_W.png,col61_day10_14apr2021_W.png,2.87332769520602e-318
210,col76_day20_24apr2021_E.png,col61_day10_14apr2021_W.png,4.76E-118
211,col76_day20_24apr2021_W.png,col61_day10_14apr2021_W.png,8.11E-150
212,col76_day32_6may2021_E.png,col61_day10_14apr2021_W.png,1.70E-154
213,col76_day32_6may2021_W.png,col61_day10_14apr2021_W.png,1.79E-177
214,col76_day40_14may2021_E.png,col61_day10_14apr2021_W.png,1.62E-201
215,col76_day40_14may2021_W.png,col61_day10_14apr2021_W.png,1.40E-227
216,col76_day50_24may2021_E.png,col61_day10_14apr2021_W.png,1.13E-194
217,col76_day50_24may2021_W.png,col61_day10_14apr2021_W.png,4.15E-203
218,col76_day60_03June2021_E.png,col61_day10_14apr2021_W.png,2.75E-162
219,col76_day60_03June2021_W.png,col61_day10_14apr2021_W.png,1.72E-182
220,col76_day71_14June2021_E.png,col61_day10_14apr2021_W.png,3.56E-189
221,col76_day71_14June2021_W.png,col61_day10_14apr2021_W.png,3.14E-179
222,col76_day81_24June2021_E.png,col61_day10_14apr2021_W.png,4.38E-240
223,col76_day81_24June2021_W.png,col61_day10_14apr2021_W.png,4.35E-236
224,col76_day89_02July2021_E.png,col61_day10_14apr2021_W.png,8.68E-226
225,col76_day89_02July2021_W.png,col61_day10_14apr2021_W.png,1.24E-236
226,col77_day151_02September2021_E.png,col61_day10_14apr2021_W.png,1.03753785626662e-322
227,col77_day151_02September2021_W.png,col61_day10_14apr2021_W.png,0
228,col77_day159_10September2021_E.png,col61_day10_14apr2021_W.png,4.65E-276
229,col77_day159_10September2021_W.png,col61_day10_14apr2021_W.png,7.50E-301
230,col77_day170_21September2021_E.png,col61_day10_14apr2021_W.png,4.38E-215
231,col77_day170_21September2021_W.png,col61_day10_14apr2021_W.png,7.66E-236
232,col77_day180_1October2021_E.png,col61_day10_14apr2021_W.png,2.76E-263
233,col77_day180_1October2021_W.png,col61_day10_14apr2021_W.png,3.98E-262
234,col77_day190_11October2021_E.png,col61_day10_14apr2021_W.png,1.19E-246
235,col77_day190_11October2021_W.png,col61_day10_14apr2021_W.png,1.29E-266
236,col77_day200_21October2021_E.png,col61_day10_14apr2021_W.png,0
237,col77_day200_21October2021_W.png,col61_day10_14apr2021_W.png,0
238,col77_day208_29October2021_E.png,col61_day10_14apr2021_W.png,0
239,col77_day208_29October2021_W.png,col61_day10_14apr2021_W.png,0
240,col77_day221_11November2021_E.png,col61_day10_14apr2021_W.png,0
241,col77_day221_11November2021_W.png,col61_day10_14apr2021_W.png,0
242,col77_day229_19November2021_E.png,col61_day10_14apr2021_W.png,0
243,col77_day229_19November2021_W.png,col61_day10_14apr2021_W.png,0
244,col77_day241_01December2021_E.png,col61_day10_14apr2021_W.png,0
245,col77_day241_01December2021_W.png,col61_day10_14apr2021_W.png,0
246,East_day105_16Apr2013_N.png,col61_day10_14apr2021_W.png,0
247,East_day105_16Apr2013_S.png,col61_day10_14apr2021_W.png,0
248,East_day134_14May2013_N.png,col61_day10_14apr2021_W.png,3.76E-308
249,East_day134_14May2013_S.png,col61_day10_14apr2021_W.png,0
250,East_day169_18Jun2013_N.png,col61_day10_14apr2021_W.png,2.53E-214
251,East_day169_18Jun2013_S.png,col61_day10_14apr2021_W.png,2.07E-208
252,East_day197_16July2013_N.png,col61_day10_14apr2021_W.png,0
253,East_day197_16July2013_S.png,col61_day10_14apr2021_W.png,0
254,East_day224_13Aug2013_N.png,col61_day10_14apr2021_W.png,1.91E-49
255,East_day224_13Aug2013_S.png,col61_day10_14apr2021_W.png,2.09E-46
256,East_day261_18Sep2013_N.png,col61_day10_14apr2021_W.png,3.57E-151
257,East_day261_18Sep2013_S.png,col61_day10_14apr2021_W.png,1.56E-70
258,North_day105_16Apr2013_E.png,col61_day10_14apr2021_W.png,3.01E-287
259,North_day105_16Apr2013_W.png,col61_day10_14apr2021_W.png,3.17E-294
260,North_day134_14May2013_E.png,col61_day10_14apr2021_W.png,1.10E-290
261,North_day134_14May2013_W.png,col61_day10_14apr2021_W.png,9.28E-274
262,North_day169_18Jun2013_E.png,col61_day10_14apr2021_W.png,1.69E-281
263,North_day169_18Jun2013_W.png,col61_day10_14apr2021_W.png,1.81E-253
264,North_day197_16July2013_E.png,col61_day10_14apr2021_W.png,1.03E-285
265,North_day197_16July2013_W.png,col61_day10_14apr2021_W.png,9.68E-287
266,North_day224_13Aug2013_E.png,col61_day10_14apr2021_W.png,1.36E-246
